term,emotion,tension_domain,weight
焦虑,anxiety,self_identity,3
内卷,burnout_competition,social_position,3
累了,fatigue,life_design,3
羡慕,envy,social_position,2
攀比,comparison,social_position,2
孤独,loneliness,belonging,3
被看见,recognition,self_identity,3
不够好,inadequacy,self_identity,3
自我怀疑,self_doubt,self_identity,3
压力,pressure,social_position,3
被催,being_pushed,social_position,3
自由,freedom,life_design,2
松弛,relief,life_design,3
松一口气,relief,life_design,3
躺平,disengagement,life_design,2
安全感,security,belonging,3
安心,reassurance,belonging,3
省心,low_effort_ease,life_design,2
负担,burden,life_design,2
负担小,low_burden,life_design,2
温和,gentleness,belonging,1
踏实,groundedness,belonging,2
害怕,fear,self_identity,2
担心,worry,self_identity,2
后悔,regret,self_identity,2
失望,disappointment,self_identity,2
被骗,feeling_deceived,social_position,2
不信任,distrust,social_position,2
被PUA,manipulated,self_identity,3
治愈,healing,belonging,2
归属,belonging,belonging,3
认同,validation,self_identity,3
掌控,control,life_design,2
无力,powerlessness,life_design,2
向往,longing,life_design,2
满足,satisfaction,life_design,1
骄傲,pride,self_identity,2
被尊重,respected,social_position,2
