term,motive_type,motive,tension_domain,weight
变好,desire,self_betterment,self_identity,2
变优秀,desire,self_betterment,social_position,2
不想变好,fatigue,permission_to_pause,life_design,3
不想努力,fatigue,permission_to_pause,life_design,3
被允许,need,permission,self_identity,3
没关系,need,permission,self_identity,3
被理解,need,being_understood,belonging,3
懂我,need,being_understood,belonging,3
被认可,need,validation,self_identity,3
怕落后,fear,fear_of_falling_behind,social_position,3
怕被淘汰,fear,fear_of_obsolescence,social_position,3
怕出错,fear,fear_of_mistake,self_identity,2
怕浪费钱,fear,fear_of_waste,life_design,2
怕踩雷,fear,fear_of_bad_choice,life_design,2
想省事,desire,low_effort,life_design,2
想简单,desire,simplicity,life_design,2
想休息,need,rest,life_design,3
想被照顾,need,being_cared_for,belonging,3
不被催,need,freedom_from_pressure,social_position,3
不被评判,need,freedom_from_judgment,self_identity,3
做自己,desire,authenticity,self_identity,2
有掌控,need,control,life_design,2
怕麻烦,fear,fear_of_hassle,life_design,2
想合群,need,fitting_in,belonging,2
怕孤立,fear,fear_of_exclusion,belonging,3
值得,need,worthiness,self_identity,3
够用就好,desire,enoughness,life_design,2
