tag_type,tag,description
topic,product,"Product, feature, service, packaging, or experience discussion"
topic,price,"Price, value, discount, affordability, or willingness-to-pay discussion"
topic,brand-perception,"Brand meaning, reputation, tone, image, or trust discussion"
topic,competitor,"Competitor, substitute, comparison, or category convention discussion"
topic,occasion,"Usage occasion, purchase occasion, context, or ritual discussion"
topic,channel,"Platform, store, app, media, event, or touchpoint discussion"
insight_lens,need,"Unmet need, desired support, or hoped-for outcome"
insight_lens,pain-point,"Friction, frustration, disappointment, or practical barrier"
insight_lens,driver,"Reason to choose, recommend, share, or pay attention"
insight_lens,barrier,"Reason to reject, delay, distrust, or ignore"
insight_lens,risk,"Reputation, execution, category, or audience risk"
insight_lens,opportunity,"Strategic opening, under-served desire, or differentiating possibility"
evidence_lens,sentiment,"Positive, negative, mixed, or neutral attitude marker"
evidence_lens,behavior,"Observed action, routine, habit, purchase, search, or sharing pattern"
evidence_lens,language,"Repeated phrase, metaphor, meme, claim, or audience wording"
evidence_lens,tension,"Contradiction between current reality and desired reality"
